text_id,term,reference,candidate,model
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,generative ai,"artificial intelligence designed to produce output, especially text or images, normally requiring human intelligence, typically by applying machine learning techniques to large collections of data.","This is a type of artificial intelligence that creates new content, like text, images, or music, rather than just analyzing or organizing existing information. Think of it as a creative machine that can write stories or generate artwork.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,transformer architecture,a type of neural network architecture that transforms or changes an input sequence into an output sequence. They do this by learning context and tracking relationships between sequence components.,A type of model structure used in AI that helps process and generate language more effectively. It allows the AI to understand context and relationships between words better than older models.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,neural network,A neural network is a machine learning model that stacks simple 'neurons' in layers and learns pattern-recognizing weights and biases from data to map inputs to outputs.,"This is a system of algorithms inspired by the human brain, designed to recognize patterns in data. In AI, it processes information and learns from it, similar to how our brains learn from experiences.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,training,the process of learning the skills that you need to do a job,The process of teaching an AI model by feeding it large amounts of data so it can learn patterns and improve its performance. This is similar to how a child learns by listening and observing.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,backpropagation,is an elegant method to calculate how changes to any of the weights or biases of a neural network will affect the accuracy of model predictions.,A method used in training neural networks where the model adjusts itself based on errors it made in predictions. It’s like correcting mistakes to improve future performance.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,reinforcement learning with human feedback,"is a machine learning technique in which a “reward model” is trained with direct human feedback, then used to optimize the performance of an artificial intelligence agent through reinforcement learning.","A training method where humans provide feedback on the AI's outputs, helping it learn what is correct or desirable. This is akin to training a pet by rewarding good behavior.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,prompt engineering,the occupation or activity of writing instructions for an artificial intelligence program or tool to determine or influence the content that it creates.,The skill of crafting effective questions or commands to get the best responses from an AI. It’s about knowing how to communicate with the AI to achieve desired results.,gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,backlog,a structured and carefully maintained list used by the Scrum product owner to guide the development team's tasks.,"A prioritized list of tasks, features, or ideas that a team needs to work on. It serves as a central repository for all work items in a Scrum project.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,sprint,"short, time-boxed periods where teams focus on completing a set amount of work, enabling incremental delivery.","A set period (usually 1 to 4 weeks) during which a Scrum team works to complete a specific set of tasks from the backlog. It helps teams focus on delivering small, manageable pieces of work.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,scrum master,"a person who facilitates the work performed, especially by eliminating obstacles to the completion of tasks and achievement of goals.",A facilitator for the Scrum team who ensures that the team follows Agile principles and practices. They help remove obstacles and support the team in doing their best work.,gpt-4o-mini
